Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
CITRESS-27,2.1,0.98,160,36,LOAM
CITRESS-27,2,0.93,170,38,LOAM
CITRESS-27,1.91,0.98,200,36,LOAM
CITRESS-27,1.98,0.93,190,38,LOAM
CITRESS-27,2.16,0.83,150,36,LOAM
CITRESS-27,2.03,0.93,160,34,LOAM
CITRESS-27,2.16,0.98,180,36,LOAM
CKULI FLOWER-25,2.23,0.72,180,36,LOAM
WETHE,1.96,0.67,170,38,LOAM
COTTON - 21,1.94,0.72,120,36,LOAM
COTTON - 21,2.1,0.72,130,36,LOAM
COTTON - 21,1.98,0.72,190,36,LOAM
COTTON - 21,2.12,0.78,150,34,LOAM
COTTON - 21,2.18,0.83,110,36,LOAM
COTTON - 21,2.06,0.88,210,36,LOAM
COTTON - 21,2.17,0.72,170,40,LOAM
COTTON - 21,2.19,0.78,230,36,LOAM
COTTON - 21,2.2,0.88,220,36,LOAM
COTTON - 21,1.93,0.67,180,38,LOAM
COTTON - 21,1.97,0.88,210,38,LOAM
COTTON - 21,2.01,0.67,110,38,LOAM
COTTON - 21,1.97,0.72,130,38,LOAM
COTTON - 21,1.98,0.67,120,36,LOAM
COTTON - 21,2.1,0.72,150,36,LOAM
COTTON - 21,2.01,0.78,150,34,LOAM
COTTON - 21,2.11,0.72,170,36,LOAM
COTTON - 21,1.98,0.88,120,36,LOAM
COTTON - 21,1.94,0.57,120,36,LOAM
COTTON - 21,2.02,0.72,180,32,LOAM
COTTON - 21,2.1,0.67,110,32,LOAM
COTTON - 21,1.98,0.57,110,36,LOAM
COTTON - 21,1.92,0.78,170,36,LOAM
COTTON - 21,1.89,0.72,150,36,LOAM
COTTON - 21,1.97,0.88,120,36,LOAM
COTTON - 21,1.99,0.72,140,34,LOAM
COTTON - 21,2.09,0.83,130,34,LOAM
COTTON - 21,2.01,0.78,150,38,LOAM
COTTON - 21,2.04,0.98,150,40,LOAM
COTTON - 21,2.08,0.83,150,36,LOAM
COTTON - 21,2.13,0.78,110,38,LOAM
COTTON - 21,1.9,0.57,100,38,LOAM
COTTON - 5,2.15,0.67,140,36,LOAM
COTTON - 5,2.09,0.78,150,34,LOAM
COTTON - 5,2.09,0.83,170,36,LOAM
COTTON - 5,2.03,0.72,110,36,LOAM
COTTON - 5,2.19,0.62,150,38,LOAM
COTTON - 5,1.98,0.78,200,36,LOAM
COTTON - 5,1.93,0.83,200,38,LOAM
COTTON - 5,2.03,0.72,190,36,LOAM
COTTON - 5,2.01,0.88,130,38,LOAM
RICE - 31,2.78,0.78,140,36,LOAM
RICE - 31,2.63,0.78,160,36,LOAM
RICE - 31,2.49,0.72,110,36,LOAM
RICE - 31,2.29,0.78,140,38,LOAM
RICE - 31,2.37,0.67,170,36,LOAM
COTTON - 23,3.19,0.62,210,42,LOAM
COTTON - 23,2.93,0.78,21,42,LOAM
COTTON - 23,2.97,0.72,220,40,LOAM
COTTON - 23,2.92,0.78,230,40,LOAM
COTTON - 23,3.52,0.88,140,38,LOAM
COTTON - 23,3.48,0.78,130,36,LOAM
COTTON - 23,3.67,0.78,170,34,LOAM
COTTON - 23,3.69,0.67,120,36,LOAM
COTTON - 23,3.6,0.62,170,36,LOAM
COTTON - 23,3.77,0.72,150,36,LOAM
COTTON - 23,3.48,0.83,140,36,LOAM
COTTON - 23,3.54,0.88,170,38,LOAM
COTTON - 23,3.67,0.57,110,36,LOAM
COTTON - 13,2.05,0.93,130,34,LOAM
COTTON - 13,1.93,1.03,180,36,LOAM
COTTON - 13,1.9,0.98,200,38,LOAM
COTTON - 13,1.94,1.09,180,36,LOAM
COTTON - 13,1.93,0.72,150,34,LOAM
COTTON - 13,1.96,0.83,160,32,LOAM
COTTON - 13,1.91,0.98,180,36,LOAM
COTTON - 13,1.89,0.98,150,38,LOAM
COTTON - 13,1.9,1.14,200,40,LOAM
COTTON - 13,1.98,1.03,190,36,LOAM
COTTON - 13,1.96,0.83,160,38,LOAM
COTTON - 13,1.94,0.78,130,36,LOAM
COTTON - 13,1.93,0.88,110,38,LOAM
COTTON - 13,1.92,0.93,120,36,LOAM
COTTON - 13,1.96,0.98,100,34,LOAM
COTTON - 13,1.92,0.67,130,36,LOAM
COTTON - 13,1.94,0.78,160,36,LOAM
COTTON - 23,5.9,0.67,200,34,LOAM
COTTON - 23,2.53,0.78,190,34,LOAM
COTTON - 23,2.87,0.98,220,36,LOAM
COTTON - 23,2.47,0.98,180,36,LOAM
COTTON - 23,2.72,1.09,150,38,LOAM
COTTON - 23,2.3,1.03,180,36,LOAM
COTTON - 23,2.4,0.67,140,34,LOAM
COTTON - 23,2.39,0.78,210,38,LOAM
COTTON - 23,2.44,0.88,170,36,LOAM
COTTON - 23,2.57,0.98,150,34,LOAM
COTTON - 23,2.79,0.72,170,34,LOAM
COTTON - 23,2.51,0.67,200,36,LOAM
QUQAMBER-15,2.46,0.98,230,36,LOAM
ONION-07,2.36,0.83,210,38,LOAM
Patato-8,2.93,0.35,240,38,LOAM
Patato-8,3.83,1.4,160,34,LOAM
Patato-8,2.88,1.26,180,36,LOAM
Patato-8,3.62,0.35,160,32,LOAM
Patato-8,2.67,0.35,160,34,LOAM
Patato-8,3.14,1.05,240,36,LOAM
Patato-8,2.68,1.4,160,38,LOAM
Patato-8,5.74,0.35,160,34,LOAM
Patato-8,2.5,0.7,140,36,LOAM
Patato-8,2.51,1.05,180,36,LOAM
Patato-8,5.57,1.26,220,38,LOAM
Wheet-26,2.55,1.05,240,35,LOAM
Wheet-26,2.69,0.91,300,34,LOAM
Wheet-26,2.34,1.05,240,34,LOAM
Wheet-26,2.31,0.98,240,34,LOAM
Wheet-26,2.33,0.91,220,34,LOAM
Wheet -11,2.35,0.98,260,37,LOAM
Wheet-11,2.39,1.05,240,34,LOAM
Wheet -11,2.51,0.98,220,33,LOAM
Wheet-11,2.45,1.12,200,35,LOAM
Wheet -11,2.43,1.05,180,34,LOAM
Cabbage-25,2.49,1.12,180,35,LOAM
Cabbage-25,1.58,0.98,300,35,LOAM
Cabbage-25,14.96,1.05,280,33,LOAM
Cabbage-25,11.57,0.98,340,37,LOAM
Cabbage-25,12.1,0.84,360,36,LOAM
Cabbage-25,1.57,1.05,340,37,LOAM
Cabbage-25,11.24,1.26,260,34,LOAM
Cabbage-25,12.11,0.84,300,37,LOAM
Cabbage-25,1.6,1.05,260,37,LOAM
Cabbage-25,1.09,1.4,340,34,LOAM
Cabbage-25,1.39,1.12,320,35,LOAM
Cabbage-25,14.21,1.12,300,35,LOAM
Cabbage-25,2.89,1.05,260,35,LOAM
Cabbage-25,2.06,1.4,300,34,LOAM
Cabbage-25,1.5,1.12,260,34,LOAM
Cabbage-25,1.39,0.91,360,37,LOAM
Cabbage-25,1.42,1.05,280,35,LOAM
Cabbage-25,1.48,1.05,300,33,LOAM
Cabbage-25,1.35,0.91,320,33,LOAM
Cabbage-25,1.35,0.7,180,33,LOAM
Cabbage-25,1.36,0.98,160,33,LOAM
Cabbage-25,1.31,0.77,160,33,LOAM
Cabbage-25,1.4,0.7,180,32,LOAM
Cabbage-25,1.34,1.19,160,35,LOAM
Cabbage-25,1.48,0.7,120,32,LOAM
Cabbage-25,1.56,0.84,280,37,LOAM
Cabbage-25,1.41,0.77,140,37,LOAM
Cabbage-25,1.33,0.7,120,32,LOAM
Cabbage-25,1.33,0.7,120,35,LOAM
Cabbage-25,1.42,0.7,160,37,LOAM
Cabbage-25,1.33,0.84,120,34,LOAM
Cabbage-25,1.36,0.63,100,37,LOAM
Cabbage-25,1.35,0.7,120,33,LOAM
Cetrus-27,1.33,0.91,280,35,LOAM
Cetrus-27,1.69,0.7,300,5,LOAM
Cetrus-27,1.78,0.77,300,34,LOAM
Cetrus-27,1.8,1.05,260,34,LOAM
Cetrus-27,1.72,0.84,300,39,LOAM
Cetrus-27,1.78,0.7,300,38,LOAM
Cetrus-27,1.77,0.77,320,39,LOAM
Cetrus-27,1.69,0.98,300,38,LOAM
Cetrus-27,1.99,1.05,280,36,LOAM
Cetrus-27,1.84,0.7,280,38,LOAM
Cetrus-27,1.84,0.63,300,39,LOAM
Cetrus-27,1.84,0.77,300,40,LOAM
Cetrus-27,1.93,1.05,300,36,LOAM
Cetrus-27,1.71,0.91,320,36,LOAM
Cetrus-27,1.93,0.77,280,34,LOAM
Cetrus-27,1.76,0.56,260,34,LOAM
Cetrus-27,1.69,0.63,280,36,LOAM
Cetrus-27,1.95,0.84,300,34,LOAM
Cetrus-27,1.71,0.77,320,34,LOAM
Cetrus-27,1.69,0.49,280,38,LOAM
Cetrus-27,1.61,0.7,200,38,LOAM
Cetrus-27,1.87,0.63,240,39,LOAM
Cetrus-27,1.87,0.91,260,38,LOAM
Cetrus-27,1.71,0.7,300,37,LOAM
Cetrus-27,1.99,0.77,320,34,LOAM
Cetrus-27,1.84,0.7,300,36,LOAM
Cetrus-27,2.78,0.63,320,39,LOAM
Cetrus-27,2.79,0.63,260,37,LOAM
Cetrus-27,2.48,0.77,280,38,LOAM
Cetrus-27,2.53,0.56,300,41,LOAM
Cetrus-27,2.81,0.63,300,39,LOAM
Cetrus-27,2.59,0.49,280,38,LOAM
Cetrus-27,2.55,0.91,260,41,LOAM
Cetrus-27,2.84,1.12,280,42,LOAM
Cetrus-27,2.44,0.7,300,40,LOAM
Cetrus-27,2.34,0.56,320,39,LOAM
Cetrus-27,2.47,0.49,260,42,LOAM
Cetrus-27,2.54,1.12,300,44,LOAM
Cetrus-27,2.54,0.91,340,43,LOAM
Cetrus-27,2.39,1.26,360,42,LOAM
Cetrus-27,2.7,1.05,340,44,LOAM
Cetrus-27,2.4,1.19,280,38,LOAM
Cetrus-27,2.64,0.91,360,39,LOAM
Cetrus-27,2.54,1.19,310,44,LOAM
Cetrus-27,2.36,0.7,360,42,LOAM
Cetrus-27,2.27,1.26,300,40,LOAM
Cetrus-27,2.38,1.12,280,45,LOAM
Cetrus-27,2.34,0.84,320,44,LOAM
Cetrus-27,2.47,0.63,160,40,LOAM
Cetrus-27,2.24,0.7,180,39,LOAM
Cetrus-27,1.66,0.91,180,38,LOAM
Cetrus-27,1.86,0.7,280,43,LOAM
Cetrus-27,2.69,0.77,280,44,LOAM
Cetrus-27,2.84,1.05,140,39,LOAM
Cetrus-27,2.38,0.84,140,40,LOAM
Cetrus-27,2.54,0.7,300,41,LOAM
Cetrus-27,2.48,0.77,300,39,LOAM
Cetrus-27,2.23,0.98,220,40,LOAM
Cetrus-27,1.75,1.05,320,42,LOAM
Cetrus-27,2.54,0.7,100,44,LOAM
Wheet-11,1.99,0.63,120,44,LOAM
Wheet-11,2.25,0.77,280,39,LOAM
Wheet-11,1.15,1.05,160,41,LOAM
Wheet-11,1.51,0.91,60,38,LOAM
Wheet-11,1.67,1.05,200,41,LOAM
Onion-07,1.48,0.98,200,39,LOAM
Onion-07,1.93,1.4,100,44,LOAM
Onion-07,2.1,0.56,120,44,LOAM
Onion-07,1.78,1.05,100,41,LOAM
Onion-07,1.76,0.91,260,42,LOAM
Onion-07,1.73,0.98,180,39,LOAM
Onion-07,1.9,0.84,160,40,LOAM
Onion-07,1.7,1.05,160,42,LOAM
Onion-07,1.49,0.91,80,45,Clay LOAM
Onion-07,1.81,0.77,100,45,Clay LOAM
Onion-07,1.9,0.84,140,44,LOAM
Onion-07,1.85,1.05,160,43,LOAM
Onion-07,1.84,0.98,280,46,Clay LOAM
Onion-07,2.08,0.77,220,46,Clay LOAM
Onion-07,1.79,1.05,100,43,LOAM
Onion-07,1.78,0.84,120,45,Clay LOAM
Onion-07,1.84,0.91,140,44,LOAM
Onion-07,1.81,0.91,180,43,LOAM
Onion-07,1.96,0.84,160,45,Clay LOAM
Onion-07,1.72,0.98,180,45,Clay LOAM
Onion-07,1.79,0.91,140,45,Clay LOAM
Onion-07,1.86,1.19,200,44,LOAM
Onion-07,1.9,1.19,220,42,LOAM
Onion-07,1.99,1.05,240,43,LOAM
Cetrus-27,1.8,0.84,180,42,LOAM
Cetrus-27,1.63,0.91,200,40,LOAM
Cetrus-27,1.49,1.05,240,40,LOAM
Cetrus-27,1.57,0.98,220,39,LOAM
Cetrus-27,1.44,1.19,240,41,LOAM
Cetrus-27,2.28,0.98,180,40,LOAM
Cetrus-27,1.7,0.84,160,40,LOAM
Cetrus-27,1.46,0.77,200,37,LOAM
Cetrus-27,1.6,1.05,240,38,LOAM
Cetrus-27,1.42,0.84,260,40,LOAM
Cetrus-27,1.63,1.19,300,39,LOAM
Cetrus-27,0.85,1.05,260,41,LOAM
Cotton -23,2.54,1.19,200,35,LOAM
Cotton-84,2.54,1.05,220,42,LOAM
Cotton-28,2.52,1.4,280,40,LOAM
Wheet-11,1.85,0.7,200,39,LOAM
Wheet-11,3.51,0.63,260,40,LOAM
Wheet-11,3.13,1.47,350,34,LOAM
Wheet-11,3.06,1.05,240,32,LOAM
Cotton-23,3.17,0.77,120,44,LOAM
COTTON - 22,2.44,0.78,180,36,LOAM
RICE - 15,2.41,0.72,210,38,LOAM
COTTON - 15,1.89,0.78,220,36,LOAM
COTTON - 13,2.05,0.93,130,34,LOAM
COTTON - 13,1.93,1.03,180,36,LOAM
COTTON - 13,1.9,0.98,200,38,LOAM
COTTON - 13,1.94,1.09,180,36,LOAM
COTTON - 13,1.93,0.72,150,34,LOAM
COTTON - 13,1.96,0.83,160,32,LOAM
COTTON - 13,1.91,0.98,180,36,LOAM
COTTON - 13,1.89,0.98,150,38,LOAM
COTTON - 13,1.9,1.14,200,40,LOAM
COTTON - 13,1.98,1.03,190,36,LOAM
COTTON - 13,1.96,0.83,160,38,LOAM
COTTON - 13,1.94,0.78,130,36,LOAM
COTTON - 13,1.93,0.88,110,38,LOAM
COTTON - 13,1.92,0.93,120,36,LOAM
COTTON - 13,1.96,0.98,100,34,LOAM
COTTON - 13,1.92,0.67,130,36,LOAM
COTTON - 13,1.94,0.78,160,36,LOAM
Kanola-28,1.91,0.7,140,36,LOAM
Kanola-28,2.57,1.05,180,36,LOAM
Kanola-28,2.45,0.98,160,36,LOAM
Kanola-28,2.67,0.91,200,38,LOAM
Kanola-28,2.58,0.77,180,34,LOAM
Kanola-28,2.34,0.91,140,34,LOAM
Kanola-28,3.63,0.56,220,38,LOAM
Kanola-28,2.19,0.56,240,38,LOAM
Kanola-28,2.13,0.91,200,3.6,LOAM
Kanola-28,2.5,0.7,160,34,LOAM
Kanola-28,2.3,0.98,140,38,LOAM
Kanola-28,2.58,0.98,180,38,LOAM
Kanola-28,2.52,0.91,200,34,LOAM
Wheet-11,2.94,1.26,360,34,LOAM
Wheet-11,1.78,1.32,320,36,LOAM
Wheet-11,1.73,1.4,280,37,LOAM
Wheet -11,1.92,1.05,160,37,LOAM
Wheet -11,3.47,0.63,220,34,LOAM
Wheet -11,2.79,0.49,220,34,LOAM
Wheet -11,2.82,0.91,160,34,LOAM
Wheet -11,2.61,1.4,160,36,LOAM
Cotton-3,3.2,1.32,140,39,LOAM
Cotton-28,1.88,1.05,240,34,LOAM
Wheet-11,1.69,0.84,100,34,LOAM
Wheet-11,1.61,1.47,80,40,LOAM
Wheet-11,1.42,1.32,60,39,LOAM
Wheet-11,13.93,0.84,300,40,LOAM
Wheet-11,1.91,0.98,200,40,LOAM
QUQAMBER-15,2.46,0.98,230,36,LOAM
Wheet-11,2.72,1.32,260,34,LOAM
Wheet-11,2.59,1.05,220,36,LOAM
Wheet-11,2.22,1.19,240,34,LOAM
Wheet-11,2.29,0.84,260,34,LOAM
Wheet-11,1.98,0.98,280,35,LOAM
Cucumber-15,3.05,1.12,200,35,LOAM
Cucumber-15,3.57,0.84,200,35,LOAM
Cucumber-15,4.06,1.26,320,33,LOAM
Cucumber-15,2.97,1.19,320,34,LOAM
Cucumber-15,2.92,0.84,300,35,LOAM
Cucumber-15,3.76,0.77,300,33,LOAM
Cucumber-15,3.15,0.77,280,33,LOAM
Cucumber-15,2.78,1.26,300,34,LOAM
Cucumber-15,2.97,0.84,240,34,LOAM
Cucumber-15,2.77,1.54,280,34,LOAM
Cucumber-15,2.47,1.54,300,35,LOAM
Cucumber-15,2.61,1.19,280,33,LOAM
Cotton-37,2.1,1.4,240,42,LOAM
69,69,69,230,38,LOAM
COTTON - 24,1.84,0.83,200,36,LOAM
CANOLA - 28,2.22,0.72,170,38,LOAM
WHEAT - 28,2.34,0.88,210,34,LOAM
RICE - 16,2.27,0.98,190,38,LOAM
RICE - 16,2.31,0.98,180,36,LOAM
RICE - 16,2.26,0.78,190,34,LOAM
RICE - 16,2.33,0.98,200,32,LOAM
RICE - 16,2.4,1.03,200,36,LOAM
RICE - 16,2.27,0.98,170,34,LOAM
RICE - 16,2.47,0.93,140,36,LOAM
RICE - 16,2.53,0.98,140,34,LOAM
RICE - 16,2.23,0.98,130,36,LOAM
RICE - 16,2.36,0.98,150,34,LOAM
RICE - 16,2.43,0.78,170,36,LOAM
RICE - 16,2.52,0.72,190,38,LOAM
RICE - 16,2.49,0.78,140,36,LOAM
RICE - 16,2.35,0.83,170,34,LOAM
RICE - 16,2.58,0.78,140,34,LOAM
RICE - 16,2.61,0.67,130,38,LOAM
RICE - 16,2.89,0.88,120,36,LOAM
RICE - 16,2.55,0.78,110,38,LOAM
RICE - 16,2.88,0.88,100,36,LOAM
RICE - 16,2.61,0.98,110,44,LOAM
RICE - 16,2.84,1.03,150,38,LOAM
RICE - 16,2.78,0.83,140,36,LOAM
RICE - 16,2.69,0.62,110,34,LOAM
RICE - 16,2.81,0.78,100,36,LOAM
RICE - 16,2.87,0.67,90,34,LOAM
RICE - 16,2.85,0.52,130,30,S.LOAM
RICE - 16,2.71,0.72,140,36,LOAM
RICE - 16,2.78,0.78,170,40,LOAM
RICE - 16,2. 77,0.88,190,38,LOAM
RICE - 16,2.63,0.98,210,38,LOAM
RICE - 16,2.57,0.72,110,36,LOAM
RICE - 16,2.7,1.14,230,36,LOAM
RICE - 16,2.79,1.09,200,38,LOAM
COTTON -13,2.42,0.72,170,40,LOAM
COTTON -13,2.37,0.67,230,42,LOAM
COTTON -13,2.28,0.88,200,38,LOAM
COTTON -13,2.21,0.78,170,38,LOAM
COTTON -13,2.31,0.83,180,38,LOAM
COTTON -13,2.37,0.93,190,38,LOAM
COTTON -13,2.81,0.78,110,38,LOAM
COTTON -13,2.33,0.57,130,38,LOAM
COTTON -13,2.27,0.72,100,38,LOAM
COTTON -13,2.19,0.57,170,40,LOAM
COTTON -13,2.3,0.67,120,40,LOAM
COTTON -13,2.26,0.98,190,40,LOAM
COTTON -13,2.24,0.78,150,40,LOAM
COTTON -13,2.23,0.72,140,38,LOAM
COTTON -13,2.39,0.88,170,42,LOAM
COTTON -13,2.31,0.78,180,38,LOAM
COTTON -13,2.35,0.98,200,40,LOAM
COTTON -13,2.25,0.98,230,40,LOAM
COTTON -13,2.29,1.03,230,40,LOAM
COTTON -13,2.36,0.88,140,40,LOAM
COTTON -13,2.35,0.78,190,40,LOAM
COTTON -13,2.36,0.83,170,40,LOAM
COTTON -13,2.38,0.78,210,40,LOAM
COTTON -13,2.46,0.67,230,40,LOAM
COTTON -13,2.21,0.88,200,40,LOAM
COTTON -13,2.27,0.78,270,40,LOAM
COTTON -13,2.29,0.62,140,40,LOAM
COTTON -13,2.37,0.78,190,40,LOAM
COTTON -13,2.42,0.88,170,40,LOAM
COTTON -13,2.52,0.83,120,38,LOAM
COTTON -13,2.22,0.72,130,40,LOAM
COTTON -13,2.26,0.88,190,40,LOAM
COTTON -13,2.35,0.98,200,40,LOAM
COTTON - 18,2.81,0.93,240,36,LOAM
COTTON - 18,2.22,0.88,170,38,LOAM
COTTON - 18,2.3,0.98,190,38,LOAM
COTTON - 18,2.24,0.93,140,38,LOAM
COTTON - 18,2.35,0.88,190,39,LOAM
COTTON - 18,2.39,0.78,170,36,LOAM
COTTON - 18,2.55,0.88,120,38,LOAM
COTTON - 18,2.36,0.78,190,42,LOAM
COTTON - 18,2.46,0.52,180,38,LOAM
COTTON - 18,2.55,0.72,190,38,LOAM
COTTON - 18,2.24,0.62,140,38,LOAM
COTTON - 18,2.28,0.72,190,38,LOAM
COTTON - 18,2.37,0.78,170,39,LOAM
COTTON - 18,2.19,0.88,130,39,LOAM
COTTON - 18,2.21,0.72,190,38,LOAM
COTTON - 18,2.11,0.88,110,38,LOAM
COTTON - 18,2.9,0.83,170,38,LOAM
COTTON - 18,2.18,0.72,140,38,LOAM
WHEAT-11,2.88,0.83,120,38,LOAM
WHEAT-11,2.61,0.78,190,40,LOAM
RICE - 15,2.68,0.83,170,38,LOAM
RICE - 15,2.56,0.57,130,38,LOAM
RICE - 15,2.61,0.72,140,40,LOAM
RICE - 15,2.63,1.03,180,40,LOAM
RICE - 15,2.57,1.03,200,38,LOAM
RICE - 15,2.45,1.03,240,40,LOAM
RICE - 15,2.57,0.57,210,40,LOAM
RICE - 15,2.6,0.62,250,38,LOAM
RICE - 15,2.59,0.93,240,38,LOAM
RICE - 15,2.38,0.98,160,38,LOAM
RICE - 15,2.66,0.83,220,40,LOAM
RICE - 15,2.51,0.83,140,40,LOAM
RICE - 15,2.74,0.78,130,40,LOAM
RICE - 15,2.67,0.57,150,34,LOAM
RICE - 15,2.62,0.62,210,36,LOAM
RICE - 15,2.72,0.57,250,34,LOAM
WHEAT-11,2.21,0.72,220,36,LOAM
WHEAT-11,2.17,0.57,140,38,LOAM
RICE - 20,1.37,0.67,180,34,LOAM
RICE-32,3.41,0.62,170,36,LOAM
RICE-32,3.29,0.72,180,38,LOAM
RICE-32,3.78,0.52,150,34,LOAM
RICE-32,3.4,0.62,150,38,LOAM
COTTON - 28,2.34,0.57,180,32,LOAM
COTTON - 03,2.54,0.52,140,38,LOAM
GRAM-30,1.57,1.03,130,36,LOAM
COTTON - 24,1.99,0.67,180,38,LOAM
COTTON - 24,1.57,0.78,170,36,LOAM
COTTON - 24,1.48,0.72,120,36,LOAM
COTTON - 24,1.15,0.78,130,38,LOAM
ONION - 7,1.46,0.67,150,38,LOAM
WHEAT - 11,2.36,1.24,110,34,LOAM
WHEAT - 11,2.12,1.29,100,36,LOAM
COTTON - 28,2.1,0.88,190,32,LOAM
COTTON - 28,2.55,0.93,150,36,LOAM
COTTON - 28,2.18,0.72,170,38,LOAM
COTTON - 28,2.08,0.62,190,34,LOAM
COTTON - 28,1.87,0.78,100,36,LOAM
COTTON - 03,2.35,1.03,170,38,LOAM
COTTON - 03,1.96,1.09,140,32,LOAM
COTTON - 03,2.37,0.93,100,36,LOAM
COTTON - 03,2.63,1.19,100,32,LOAM
COTTON - 03,2.59,0.72,190,34,LOAM
COTTON - 03,2.19,0.62,140,34,LOAM
COTTON - 23,2.13,0.62,280,32,LOAM
COTTON - 13,2.14,0.57,130,40,LOAM
WHEAT - 29,3.69,0.72,140,44,LOAM
COTTON - 22,1.19,0.78,290,38,LOAM
COTTON - 22,1.52,0.72,200,34,LOAM
COTTON - 22,1.69,0.78,250,38,LOAM
COTTON - 22,1.67,0.78,240,34,LOAM
COTTON - 22,1.76,0.72,210,36,LOAM
COTTON - 22,2.44,0.93,180,38,LOAM
COTTON - 22,1.31,0.62,200,36,LOAM
COTTON - 22,0.99,0.98,210,38,LOAM
COTTON - 22,0.89,1.03,180,36,LOAM
COTTON - 22,0.91,1.03,200,40,LOAM
COTTON - 22,1.51,0.72,130,34,LOAM
WHEAT - 11,1.15,0.62,130,34,LOAM
WHEAT - 11,1.34,0.67,150,38,LOAM
COTTON - 13,1.57,0.83,230,36,LOAM
COTTON - 13,0.98,0.83,140,38,LOAM
COTTON - 13,1.08,0.78,130,36,LOAM
COTTON - 13,1.1,0.62,200,40,LOAM
COTTON - 13,1.88,0.72,270,38,LOAM
COTTON - 13,1.68,0.67,180,36,LOAM
COTTON - 13,1.7,1.03,120,38,LOAM
COTTON - 13,1.74,0.78,140,34,LOAM
COTTON - 13,1.63,0.83,180,36,LOAM
COTTON - 13,1.51,0.38,180,32,LOAM
COTTON - 13,1.55,0.72,140,34,LOAM
COTTON - 13,1.46,0.72,190,34,LOAM
COTTON - 21,1.79,0.67,180,36,LOAM
COTTON - 21,1.69,0.57,140,38,LOAM
COTTON - 21,0.99,0.67,180,34,LOAM
COTTON - 21,1.51,0.83,210,36,LOAM
COTTON - 21,1.49,0.67,230,38,LOAM
COTTON - 21,1.7,0.78,120,36,LOAM
COTTON - 21,1.74,0.83,130,34,LOAM
COTTON - 21,1.55,0.98,100,32,LOAM
COTTON - 21,1.6,0.83,180,34,LOAM
COTTON - 21,1.63,0.72,100,36,LOAM
COTTON - 23,1.3,1.14,210,38,LOAM
COTTON - 23,1.13,1.03,220,34,LOAM
COTTON - 23,1.55,1.14,180,32,LOAM
COTTON - 23,2.42,1.09,210,34,LOAM
COTTON - 23,1.38,0.62,210,32,LOAM
TOMATO - 23,1.09,0.72,140,32,LOAM
TOMATO - 23,1.13,0.62,190,34,LOAM
TOMATO - 23,2.28,0.67,150,32,LOAM
TOMATO - 23,1.88,0.72,150,34,LOAM
TOMATO - 23,1.96,0.78,130,36,LOAM
TOMATO - 23,2.19,0.72,150,38,LOAM
TOMATO - 23,1.22,0.78,140,36,LOAM
TOMATO - 23,2.04,0.67,200,36,LOAM
TOMATO - 23,2.24,0.67,190,38,LOAM
TOMATO - 23,2.38,0.67,200,36,LOAM
TOMATO - 23,2.13,0.57,250,32,LOAM
TOMATO - 23,1.97,0.62,100,36,LOAM
CITRESS - 27,1.92,0.83,180,40,LOAM
CITRESS - 27,1.99,0.67,150,38,LOAM
CITRESS - 27,1.92,0.62,140,38,LOAM
CITRESS - 27,1.95,0.72,130,36,LOAM
CITRESS - 27,2.03,0.67,170,40,LOAM
CITRESS - 27,1.93,0.78,140,38,LOAM
CITRESS - 27,2.02,0.62,130,36,LOAM
CITRESS - 27,1.96,0.67,150,36,LOAM
CITRESS - 27,1.94,0.72,190,38,LOAM
CITRESS - 27,2.13,0.72,170,38,LOAM
CITRESS - 27,2.06,0.78,130,40,LOAM
CITRESS - 27,1.95,0.67,130,38,LOAM
CITRESS - 27,2.02,0.78,170,36,LOAM
CITRESS - 27,1.98,0.72,140,36,LOAM
CITRESS - 27,1.96,0.88,150,38,LOAM
CITRESS - 27,2.04,0.78,190,40,LOAM
CITRESS - 27,2.01,0.98,180,40,LOAM
CITRESS - 27,2.04,0.98,200,40,LOAM
CITRESS - 27,2.48,0.88,140,40,LOAM
WHEAT- 22,2.48,0.72,140,36,LOAM
WHEAT- 22,2.38,0.57,150,38,LOAM
WHEAT- 22,2.59,0.57,130,34,LOAM
WHEAT- 22,2.64,0.72,140,38,LOAM
WHEAT- 22,2.72,0.78,150,36,LOAM
WHEAT- 22,2.75,0.78,130,38,LOAM
WHEAT- 22,2.5,0.83,190,40,LOAM
WHEAT- 22,3.24,0.72,130,36,LOAM
WHEAT- 22,2.63,0.72,120,40,LOAM
WHEAT- 22,2.71,0.62,190,34,LOAM
WHEAT- 22,2.7,0.72,140,36,LOAM
WHEAT- 22,2.33,0.47,150,38,LOAM
WHEAT- 22,2.5,0.52,140,40,LOAM
WHEAT- 22,2.44,0.78,150,36,LOAM
WHEAT- 22,2.74,0.57,130,34,LOAM
WHEAT- 22,2.86,0.62,130,36,LOAM
WHEAT- 22,2.86,0.62,130,36,LOAM
WHEAT- 22,2.54,0.67,130,36,LOAM
WHEAT- 22,2.57,0.62,120,38,LOAM
WHEAT- 22,3.47,0.47,150,36,LOAM
WHEAT- 22,2.68,0.72,130,32,LOAM
WHEAT- 22,2.38,1.03,140,34,LOAM
WHEAT- 22,2.65,0.78,130,32,LOAM
WHEAT- 22,2.38,0.52,140,36,LOAM
WHEAT- 22,2.46,0.52,130,34,LOAM
WHEAT- 22,3.36,0.67,120,36,LOAM
WHEAT- 22,2.66,0.52,110,34,LOAM
